"Timestamps","Values"
2022-05-24 13:16:00,3309
2022-05-24 13:20:00,3206
2022-05-24 13:24:00,3258
2022-05-24 13:28:00,3373
2022-05-24 13:32:00,3305
2022-05-24 13:36:00,3247
2022-05-24 13:40:00,3389
2022-05-24 13:44:00,3411
2022-05-24 13:48:00,3338
2022-05-24 13:52:00,3274
2022-05-24 13:56:00,3338
2022-05-24 14:00:00,3266
2022-05-24 14:04:00,3270
2022-05-24 14:08:00,3467
2022-05-24 14:12:00,3304
2022-05-24 14:16:00,3250
2022-05-24 14:20:00,3238
2022-05-24 14:24:00,3320
2022-05-24 14:28:00,3239
2022-05-24 14:32:00,3253
2022-05-24 14:36:00,3299
2022-05-24 14:40:00,3234
2022-05-24 14:44:00,3231
2022-05-24 14:48:00,3375
2022-05-24 14:52:00,3175
2022-05-24 14:56:00,3419
2022-05-24 15:00:00,3307
2022-05-24 15:04:00,3253
2022-05-24 15:08:00,3295
2022-05-24 15:12:00,3101
2022-05-24 15:16:00,1498
2022-05-24 15:20:00,1306
2022-05-24 15:24:00,1783
2022-05-24 15:28:00,4278
2022-05-24 15:32:00,3678
2022-05-24 15:36:00,3425
2022-05-24 15:40:00,3288
2022-05-24 15:44:00,3275
2022-05-24 15:48:00,3376
2022-05-24 15:52:00,3213
2022-05-24 15:56:00,3257
2022-05-24 16:00:00,3116
2022-05-24 16:04:00,3061
2022-05-24 16:08:00,3155
2022-05-24 16:12:00,3049
2022-05-24 16:16:00,2862
2022-05-24 16:20:00,2977
2022-05-24 16:24:00,3034
2022-05-24 16:28:00,2982
2022-05-24 16:32:00,2923
2022-05-24 16:36:00,2876
2022-05-24 16:40:00,2832
2022-05-24 16:44:00,2803
2022-05-24 16:48:00,2853
2022-05-24 16:52:00,2838
2022-05-24 16:56:00,2736
2022-05-24 17:00:00,2744
2022-05-24 17:04:00,2694
2022-05-24 17:08:00,2694
2022-05-24 17:12:00,2734
2022-05-24 17:16:00,2781
2022-05-24 17:20:00,2767
2022-05-24 17:24:00,2706
2022-05-24 17:28:00,2695
2022-05-24 17:32:00,2818
2022-05-24 17:36:00,2777
2022-05-24 17:40:00,2849
2022-05-24 17:44:00,2754
2022-05-24 17:48:00,2808
2022-05-24 17:52:00,2855
2022-05-24 17:56:00,2790
